الحساب	البيان
45	الأعباء والخسائر
4512	مصروف مخصص ضرائب متنازع عليها
4513	مصروف مخصص مطالبات ومنازعات قضائية
4515	مصروف مخصصات أخرى
451	مصروفات المخصصات
4521	خسائر اضمحلال أصول ثابتة
45212	خسائر اضمحلال مبانى وانشاءات ومرافق وطرق
45213	خسائر اضمحلال الات ومعدات
45214	خسائر اضمحلال وسائل نقل وانتقال
45215	خسائر اضمحلال عدد وأدوات
45216	خسائر اضمحلال اثاث وتجهيزات مكتبية
4524	خسائر اضمحلال الاستثمار العقارى
452	خسائر الاضمحلال في الأصول الثابتة والتكوين واستثمار العقارى
4551	خسائر انخفاض المخزون
4553	خسائر اضمحلال إيرادات مستحقة التحصيل وحسابات مدينة أخرى
455	خسائر انخفاض واضمحلال الأصول المتداولة
45811	خسائر بيع خامات ومواد وقطع غيار
45812	خسائر بيع مخلفات
4581	خسائر بيع خامات ومواد وقطع غيار ومخلفات
45821	تعويضات وغرامات 
45822	تبرعات واعانات
45823	مساهمة تكافلية
4582	تعويضات وغرامات وتبرعات ومساهمة تكافلية
45831	خسائر فروق العملة
45832	خسائر راسمالية
4583	خسائر فروق العملة والخسائر الراسمالية
4584	مصروفات وخسائر عرضية
458	أعباء وخسائر أخرى
459	ضرائب الدخل
5	الدخل
51	إيرادات العمليات المستمرة
511	إيرادات المبيعات
5125	منح واعانات مرتبطة بالنشاط
512	إيرادات مبيعات أخرى
5131	مخصصات انتفى الغرض منها
5132	مكاسب رد خسائر (الانخفاض والاضمحلال)
513	مخصصات انتفى الغرض منها ومكاسب رد خسائر (الانخفاض والاضمحلال)
514	ديون سبق اعدامها محصلة
51555	فوائد دائنة أخرى
5155	إيرادات تمويلية والفوائد الدائنة
515	إيرادات أدوات مالية أخرى
5161	أرباح راسمالية
5162	مكاسب فروق العملة
5163	منح واعانات أخرى
51641	مكاسب بيع مخلفات
51642	مكاسب بيع خامات ومواد وقطع غيار
51643	تعويضات وغرامات
51644	عمولات
51645	ايجارات دائنة
51646	إيرادات ومكاسب متنوعة
5164	إيرادات ومكاسب متنوعة
516	إيرادات ومكاسب أخرى
